6.30143e+06	15.6563
0.732026	-11.2433	tells
0.354103	-11.2434	mexican
0.527027	-11.2436	license
0.885714	-11.2439	pays
0.477778	-11.2439	the first round
0.681818	-11.244	norman
0.65445	-11.2443	second straight
0.635468	-11.2449	massachusetts
0.988095	-11.2454	u.k.
0.965909	-11.2454	job cuts
0.469169	-11.2457	boys
0.512821	-11.2457	dubai
0.955556	-11.2458	precise
0.28131	-11.2459	damage
0.849558	-11.246	turned into
0.721519	-11.2463	next season
0.668478	-11.2467	intel
0.214566	-11.2467	mexico
0.764286	-11.2469	anc
0.308227	-11.2469	polls
0.773723	-11.2475	harvest
0.843478	-11.248	interim government
0.331099	-11.2482	jakarta
0.258564	-11.2483	jordan
0.632353	-11.2485	bags
0.792308	-11.249	viewers
0.87037	-11.2492	lots of
0.796875	-11.2496	second - round
0.987952	-11.2496	stalemate
0.559387	-11.2497	uruguay
0.431507	-11.2498	referring to
0.987952	-11.2514	powder
0.602679	-11.2515	fined
0.792308	-11.2517	financial times
0.656085	-11.2518	about 50
0.625	-11.2518	major league
0.646154	-11.2522	carrying out
0.987952	-11.2522	livni
0.830508	-11.2524	airplane
0.327632	-11.2525	selling
0.987952	-11.2525	kenyans
0.976471	-11.2526	u.s. district judge
0.987952	-11.2527	ochoa
0.441527	-11.2528	his family
0.70303	-11.2529	cheaper
0.965517	-11.253	refugee camps
0.830508	-11.2536	turned down
0.987952	-11.2538	betting
0.987952	-11.2539	smiling
0.935484	-11.254	anti- terror
0.580913	-11.2541	valencia
0.772059	-11.2541	wait for
0.577869	-11.2541	exchange for
0.987952	-11.2545	tribes
0.987952	-11.2546	desperately
0.68	-11.2548	1.9
0.9	-11.255	yukos
0.945055	-11.255	move forward
0.9	-11.2551	bronze medal
0.830508	-11.2553	techniques
0.647668	-11.2554	artist
0.987952	-11.2554	chairs
0.884615	-11.2555	ontario
0.830508	-11.2555	ehud barak
0.830508	-11.2556	decreased
0.43318	-11.2559	responsibility for
0.677966	-11.256	chinese mainland
0.955056	-11.2562	jewish settlements
0.945055	-11.2563	hasan
0.705521	-11.2565	tin
0.806452	-11.2568	foreign currency
0.813008	-11.2568	taught
0.741497	-11.2569	malawi
0.559846	-11.257	farms
0.781955	-11.2572	general secretary
0.692308	-11.2576	condemns
0.76259	-11.2578	signals
0.772059	-11.2582	articles
0.663043	-11.2583	detail
0.270027	-11.259	rally
0.512987	-11.2592	hours after
0.404858	-11.2595	detention
0.6	-11.2605	to deliver
0.790698	-11.2609	four times
0.454082	-11.261	survivors
0.916667	-11.2612	slated for
0.674157	-11.2617	hu jintao
0.710692	-11.2617	tears
0.668508	-11.2618	temperature
0.97619	-11.2625	hart
0.891089	-11.2627	wrapped up
0.854545	-11.2629	p.
0.965116	-11.263	financially
0.806452	-11.2632	people have died
0.987805	-11.2634	former soviet republic
0.97619	-11.2638	welsh
0.518395	-11.264	cambodian
0.208874	-11.2642	60
0.744828	-11.2644	attractive
0.753521	-11.2645	they 'll
0.834783	-11.2648	san juan
0.987805	-11.2649	applicants
0.925532	-11.2649	terrorist organization
0.840708	-11.2656	if necessary
0.987805	-11.2658	bands
0.965116	-11.2658	warlord
0.369492	-11.2659	a spokesman for
0.965116	-11.266	childhood
0.834783	-11.2661	fights
0.934783	-11.2662	viewed as
0.854545	-11.2664	iaaf
0.363487	-11.2665	lose
0.987805	-11.2666	stemming from
0.444717	-11.2675	pressure on
0.915789	-11.2679	fulham
0.400398	-11.268	snow
0.678161	-11.2681	un-
0.987805	-11.2682	diverse
0.645833	-11.2683	will likely
0.811475	-11.2687	thursday afternoon
0.69697	-11.2689	judgment
0.795276	-11.2694	butler
0.954545	-11.2694	addresses
0.987805	-11.2695	grounded
0.76087	-11.2695	find out
0.690476	-11.2697	cameras
0.861111	-11.27	rebel groups
0.315136	-11.2707	a number of
0.784615	-11.2709	kyrgyzstan
0.882353	-11.2712	boosted by
0.764706	-11.2714	did not give
0.553846	-11.2714	newcastle
0.827586	-11.2718	militant groups
0.284274	-11.2719	greece
0.907216	-11.2721	crown prince
0.751773	-11.2722	to oust
0.875	-11.2724	sunday afternoon
0.60274	-11.2725	to participate in
0.62439	-11.2727	ferry
0.89899	-11.2728	dealings
0.867925	-11.2731	palermo
0.94382	-11.2735	fertilizer
0.987654	-11.2743	pete sampras
0.479769	-11.2746	funeral
0.934066	-11.275	skeptical
0.575	-11.2753	cook
0.934066	-11.2756	euro 2004
0.662983	-11.2757	south lebanon
0.768657	-11.2759	root
0.28091	-11.2759	75
0.987654	-11.276	applause
0.964706	-11.2763	inquiry into
0.493865	-11.2764	option
0.778626	-11.2764	endorsement
0.987654	-11.2768	medication
0.668539	-11.277	went into
0.987654	-11.2773	mobile phones
0.954023	-11.2775	prophet
0.875	-11.2778	& co.
0.964706	-11.278	lincoln
0.846847	-11.2781	asia pacific
0.89	-11.2785	kyodo news
0.538462	-11.2785	strict
0.254472	-11.2786	90
0.793651	-11.2786	horses
0.954023	-11.2787	opted
0.768657	-11.2788	silent
0.897959	-11.2795	lobbying
0.94382	-11.28	sounded
0.596413	-11.2802	soaring
0.737931	-11.2804	neutral
0.54717	-11.2805	fm
0.987654	-11.2806	altogether
0.626866	-11.281	guest
0.508143	-11.2811	to implement
0.90625	-11.2812	cd
0.866667	-11.2813	signature
0.815126	-11.2813	british open
0.94382	-11.2816	fare
0.859813	-11.2823	public opinion
0.987654	-11.283	richmond
0.866667	-11.2832	worries about
0.859813	-11.2835	aston villa
0.881188	-11.2839	recalls
0.815126	-11.2839	graft
0.987654	-11.2839	stanley cup
0.859813	-11.2844	disclosure
0.661111	-11.2847	voter
0.859813	-11.2847	knocked out
0.75	-11.285	expertise
0.526316	-11.2851	appointment
0.782946	-11.2851	retailer
0.495327	-11.2852	accidents
0.90625	-11.2852	cubans
0.504854	-11.2853	makers
0.839286	-11.2855	news reports said
0.600917	-11.2856	orange
0.762963	-11.286	joy
0.262195	-11.2863	try to
0.732877	-11.2865	immigrant
0.619512	-11.2869	kurds
0.472934	-11.2873	financing
0.839286	-11.2874	warfare
0.953488	-11.2874	phone call
0.503226	-11.2878	on board
0.896907	-11.2881	snap
0.78125	-11.2885	international organizations
0.616505	-11.2885	comfortable
0.776923	-11.2885	by beating
0.672414	-11.2886	charlotte
0.9875	-11.2887	credit crunch
0.9875	-11.2888	stiff
0.642105	-11.2888	harbor
0.9875	-11.289	thoughts
0.628141	-11.2893	nine months
0.808333	-11.2895	- bound
0.888889	-11.2896	flexibility
0.923913	-11.29	peterson
0.953488	-11.2903	hillary clinton
0.9875	-11.2904	museums
0.964286	-11.2909	phone calls
0.9875	-11.2909	trailer
0.796748	-11.2909	burial
0.97561	-11.291	north koreans
0.9875	-11.2911	designs
0.702532	-11.2913	lawsuits
0.724832	-11.2913	reviewed
0.845455	-11.2914	socialist party
0.545455	-11.2915	hotels
0.9875	-11.2917	dump
0.647059	-11.2918	trips
0.766917	-11.292	releasing
0.513423	-11.2925	iaea
0.407643	-11.2928	onto
0.413043	-11.2928	drivers
0.9875	-11.2933	acquisitions
0.57384	-11.2933	ethnic albanian
0.315924	-11.2936	allegations
0.757353	-11.2941	mob
0.933333	-11.2944	emphasis on
0.397177	-11.2947	in 2002
0.943182	-11.2947	bull
0.796748	-11.2947	graduate
0.844037	-11.295	at stake
0.844037	-11.2953	no intention
0.9875	-11.2953	directing
0.423963	-11.2961	limit
0.818966	-11.2966	outlook for
0.932584	-11.2967	cows
0.78125	-11.2968	bet
0.78125	-11.297	embattled
0.923077	-11.297	south koreans
0.837838	-11.2975	chamber of commerce
0.560484	-11.2977	three times
0.837838	-11.298	nascar
0.483483	-11.2981	causes
0.952941	-11.2982	cooperating with
0.626263	-11.2984	need to be
0.9875	-11.2986	gauge
0.757353	-11.2986	piracy
0.483483	-11.2986	choose
0.775194	-11.2989	outrage
0.963855	-11.299	lindsay davenport
0.475362	-11.2995	computers
0.987342	-11.2996	asylum seekers
0.987342	-11.2997	andy roddick
0.887755	-11.2998	trio
0.987342	-11.3001	fingers
0.987342	-11.3002	fighter jets
0.653846	-11.3004	specifically
0.88	-11.3005	has fallen
0.942529	-11.3006	observation
0.682635	-11.3006	reid
0.689024	-11.3007	one of them
0.987342	-11.3009	inspect
0.555556	-11.3011	damages
0.952941	-11.3011	swim
0.47929	-11.3011	plot
0.233077	-11.3015	vietnam
0.451444	-11.3016	canceled
0.480597	-11.3018	waste
0.354369	-11.3021	attacks on
0.942529	-11.3024	jamaican
0.975309	-11.3024	lined up
0.987342	-11.3024	trash
0.751825	-11.3026	twenty -
0.503268	-11.3026	questioning
0.857143	-11.3028	finalized
0.59633	-11.3029	late monday
0.705128	-11.303	rob
0.987342	-11.3033	f1
0.795082	-11.3034	canadians
0.857143	-11.3036	turned over
0.556	-11.3037	burundi
0.987342	-11.3037	tripoli
0.987342	-11.3038	monarchy
0.192898	-11.304	26
0.779528	-11.3041	hosted by
0.932584	-11.3041	load
0.769231	-11.3046	expressed concern
0.987342	-11.3047	mdc
0.987342	-11.3049	armenian
0.836364	-11.3056	trader
0.806723	-11.3057	orbit
0.836364	-11.3057	most powerful
0.329593	-11.3058	practice
0.56962	-11.3065	battles
0.963855	-11.3067	ruiz
0.291028	-11.3068	makes
0.952941	-11.3069	signatures
0.333815	-11.3074	patients
0.261989	-11.3074	internet
0.987342	-11.3074	reservations
0.527076	-11.3076	faith
0.963855	-11.3078	at odds
0.784	-11.308	ana
0.871287	-11.3082	ted
0.707792	-11.3082	hariri
0.707792	-11.3083	about 200
0.662857	-11.3086	jazz
0.904255	-11.309	bowlers
0.887755	-11.3094	settling
0.696203	-11.3094	grants
0.975309	-11.3096	cox
0.243098	-11.3099	myanmar
0.726027	-11.31	continental
0.871287	-11.3101	fourth straight
0.836364	-11.3103	a joint statement
0.531136	-11.3105	to ensure that
0.662857	-11.3109	prisons
0.54902	-11.3112	columbia
0.463687	-11.3113	smuggling
0.682927	-11.3115	apple
0.584821	-11.3127	regulators
0.584821	-11.3127	routine
0.280164	-11.3129	shooting
0.987179	-11.3129	parking lot
0.805085	-11.3132	six weeks
0.931818	-11.3136	trademark
0.987179	-11.3138	ngos
0.913043	-11.3139	2 1/2
0.591743	-11.3139	serve as
0.975	-11.314	morale
0.456522	-11.3141	political parties
0.481818	-11.3142	issued by
0.987179	-11.3142	on- line
0.581498	-11.3142	will begin
0.355848	-11.3143	chances
0.855769	-11.3145	admits
0.148393	-11.3145	pakistan
0.793388	-11.3147	iceland
0.805085	-11.3148	upbeat
0.987179	-11.3149	perpetrators
0.922222	-11.315	pioneer
0.987179	-11.315	idaho
0.849057	-11.3153	-year-old boy
0.605769	-11.3159	boosting
0.154662	-11.3159	17
0.987179	-11.316	enacted
0.931818	-11.316	24 - hour
0.793388	-11.316	international olympic committee
0.703226	-11.3169	afghans
0.542308	-11.3169	in 1989
0.763359	-11.317	flows
0.987179	-11.3171	121
0.823009	-11.3174	seizure
0.400419	-11.3175	purchase
0.477612	-11.3176	drought
0.987179	-11.3176	plantation
0.506711	-11.3179	flat
0.341463	-11.3179	an international
0.713333	-11.3181	exhibit
0.987179	-11.3182	screens
0.242681	-11.3185	tv
0.496774	-11.3188	his career
0.406926	-11.3189	killings
0.798319	-11.3189	has shown
0.713333	-11.3193	member countries
0.903226	-11.3196	news release
0.644809	-11.3198	gambling
0.33189	-11.3201	boston
0.987179	-11.3201	calculated
0.396694	-11.3204	to finish
0.631579	-11.3205	buffalo
0.440204	-11.3207	postponed
0.691824	-11.3208	eager to
0.763359	-11.3208	hurdles
0.414414	-11.3212	hungary
0.815789	-11.3212	metro
0.767442	-11.3222	columbus
0.987179	-11.3225	13,000
0.793388	-11.3226	plunge
0.931034	-11.323	security guards
0.195379	-11.323	singapore
0.483077	-11.3232	to save
0.735714	-11.3232	stakes
0.903226	-11.3236	returned home
0.903226	-11.3236	nokia
0.573913	-11.3238	his son
0.834862	-11.324	arkansas
0.512111	-11.324	ticket
0.921348	-11.324	appliances
0.554656	-11.3247	veterans
0.447368	-11.3248	in 1993
0.803419	-11.3249	chickens
0.941176	-11.3252	eliminating
0.786885	-11.3255	vice - chairman
1	-11.3256	lehman brothers
0.378788	-11.3258	79
0.744526	-11.3262	many of them
0.555102	-11.3265	diplomacy
0.962963	-11.327	kinmen
0.603865	-11.3272	40,000
0.282403	-11.3273	georgia
0.987013	-11.3274	running mate
0.893617	-11.3277	leonard
0.987013	-11.3281	arctic
0.87	-11.3291	lesser
0.987013	-11.3291	8th
0.987013	-11.3293	aerial
0.987013	-11.3294	sniper
0.73913	-11.3294	southern african
0.597156	-11.3298	aristide
0.73913	-11.3298	cabinet meeting
0.987013	-11.3299	laboratories
0.987013	-11.3303	widening
0.987013	-11.3305	interpol
0.487421	-11.3305	central committee
0.451351	-11.3306	cable
0.911111	-11.3307	dissolved
0.885417	-11.3307	have begun
0.420188	-11.3309	ioc
0.327195	-11.3309	hurt
0.902174	-11.3314	looted
0.75188	-11.3315	co- operation
0.861386	-11.3315	national park
0.484375	-11.3319	difficulties
0.765625	-11.332	shifted
0.398734	-11.3325	offers
0.407489	-11.3328	flood
0.987013	-11.3332	north atlantic
0.278926	-11.3332	texas
0.833333	-11.3335	dependent on
0.269231	-11.3336	dutch
0.521739	-11.334	airports
0.885417	-11.334	stressing that
0.893617	-11.3348	gutierrez
0.785124	-11.3348	nicholas
0.453552	-11.3349	picture
0.742647	-11.335	storms
0.791667	-11.3351	his client
0.670659	-11.3354	frustrated
0.550607	-11.3356	sugar
0.861386	-11.3357	death toll from
0.516014	-11.3357	discovery
0.553279	-11.3369	version of
0.601942	-11.3373	raises
0.284632	-11.3376	claim
0.846154	-11.3377	southern california
0.846154	-11.338	foreign office
0.902174	-11.3383	gap between
0.940476	-11.3387	drill
0.52381	-11.3387	religion
0.911111	-11.3388	pardon
0.986842	-11.3388	romano prodi
0.685535	-11.3391	refugee camp
0.495082	-11.3391	inquiry
0.920455	-11.3392	city hall
0.930233	-11.3392	convictions
0.81982	-11.3394	spin
0.687898	-11.3395	passport
0.534351	-11.3399	foreign trade
0.488818	-11.34	asylum
0.868687	-11.34	central asia
0.801724	-11.3407	mild
0.755725	-11.341	passports
0.687898	-11.3412	en route
0.892473	-11.3414	armed men
0.769841	-11.3414	serie a
0.831776	-11.3419	deputy foreign minister
0.740741	-11.3419	all parties
0.825688	-11.3421	isolation
0.95122	-11.3422	developers
0.884211	-11.3431	work force
0.709459	-11.3432	hugo chavez
0.666667	-11.3433	relative
0.75	-11.3435	packages
0.731884	-11.3436	eggs
0.920455	-11.3437	paint
0.274569	-11.344	chicago
0.876289	-11.3441	technique
0.5	-11.3441	gates
0.588785	-11.3442	aceh
0.9625	-11.3442	spa
0.9625	-11.3445	adhere to
0.910112	-11.3446	anti- doping
0.986842	-11.3446	grim
0.674847	-11.3447	five days
0.867347	-11.3451	fidel castro
0.484177	-11.3452	activist
0.986842	-11.3454	119
0.95122	-11.3455	web sites
0.789916	-11.3455	britons
0.683544	-11.3456	could face
0.438961	-11.3456	argentine
0.632432	-11.346	catholics
0.768	-11.3461	, 000
0.694805	-11.3462	2.8
0.723404	-11.3465	bradley
0.867347	-11.3465	borrowing
0.940476	-11.3466	governed
0.8125	-11.3467	12 months
0.662722	-11.3469	fines
0.8	-11.347	strange
0.867347	-11.3472	dismissal
0.55144	-11.3472	notice
0.528302	-11.3473	meat
0.72028	-11.3473	rebel leader
0.852941	-11.3476	booked
0.501695	-11.3481	60 percent
0.541502	-11.3484	employee
0.867347	-11.3484	british airways
0.901099	-11.3484	3 1/2
0.95122	-11.3485	rotation
0.86	-11.3487	ministerial meeting
0.8	-11.3487	chasing
0.95122	-11.3488	pro- western
0.818182	-11.3491	forever
0.606965	-11.3492	pervez musharraf
0.582569	-11.3492	i 'd
0.818182	-11.3493	230
0.553719	-11.3493	conviction
0.986842	-11.3496	pipe
0.7	-11.3501	its kind
0.831776	-11.3501	bomb blast
0.91954	-11.3503	employ
0.838095	-11.3506	euro 2008
0.516245	-11.3508	values
0.69281	-11.351	crashes
0.901099	-11.351	umpire
0.187027	-11.3516	turkey
0.360915	-11.352	in 1998
0.565217	-11.3524	be completed
0.586047	-11.3525	lyon
0.395349	-11.3529	lawsuit
0.715278	-11.353	restricted
0.986667	-11.353	joint ventures
0.986667	-11.353	tax evasion
0.901099	-11.353	hornets
0.576577	-11.3534	fishermen
0.788136	-11.3536	refuge
0.753846	-11.3539	moldova
0.851485	-11.3539	september 11
0.950617	-11.3539	polar
0.986667	-11.354	president mahmoud ahmadinejad
0.882979	-11.3541	0.8 percent
0.986667	-11.3543	convincing
0.986667	-11.3546	premature
0.986667	-11.3548	compact
0.986667	-11.3549	amended
0.974026	-11.355	oklahoma city
0.986667	-11.355	inclusion
0.950617	-11.3551	whites
0.394904	-11.3556	where they
0.84466	-11.3558	an unidentified
0.351852	-11.3558	it would be
0.986667	-11.356	tenth
0.726619	-11.3561	gene
0.372401	-11.3563	in 2003
0.986667	-11.3564	approving
0.974026	-11.3567	v.
0.748092	-11.3567	rubble
0.851485	-11.3569	military personnel
0.231105	-11.3573	euro
0.830189	-11.3575	withdrew from
0.71831	-11.3576	an analyst
0.986667	-11.3577	exhausted
0.630435	-11.3582	principal
0.478125	-11.3584	former soviet
0.986667	-11.3585	lackluster
0.865979	-11.3586	shot down
0.772358	-11.3586	exceed
0.865979	-11.3588	cooper
0.875	-11.3589	press association
0.580645	-11.3593	will start
0.695364	-11.3594	scenes
0.824074	-11.3595	answers
0.586854	-11.3596	far from
0.600985	-11.3601	harder
0.986667	-11.3601	tabloid
0.909091	-11.3602	correction
0.986667	-11.3606	generous
0.986667	-11.361	hybrid
0.748092	-11.3612	lucrative
0.9	-11.3613	recruit
0.587678	-11.3618	content
0.461988	-11.362	landing
0.858586	-11.3621	research institute
0.549587	-11.3621	rescued
0.918605	-11.3622	stays
0.986667	-11.363	picking up
0.918605	-11.3635	inappropriate
0.366483	-11.3635	sources said
0.302764	-11.3639	in july
0.522556	-11.3641	cycling
0.986667	-11.3645	persuaded
0.334356	-11.3647	74
0.372624	-11.3648	peacekeepers
0.54251	-11.3648	volunteers
0.55	-11.365	offshore
0.755906	-11.3654	toxic
0.581395	-11.3656	to add
0.973684	-11.3658	banana
1	-11.3658	dar es salaam
1	-11.3658	goldman sachs
0.928571	-11.3659	replaces
0.798246	-11.3659	consistently
0.88172	-11.366	football association
0.816514	-11.3665	secrets
0.610256	-11.3671	extreme
0.973684	-11.3672	advocated
0.873684	-11.3672	wade
0.708333	-11.3672	112
0.128819	-11.3675	eu
0.986486	-11.3677	on- going
0.670807	-11.3679	strained
0.677215	-11.3681	bmw
0.973684	-11.3681	de-
0.393617	-11.3683	this year 's
0.705479	-11.3683	malaria
0.463127	-11.3684	code
0.716312	-11.3691	plenty of
0.693333	-11.3691	switch
0.781513	-11.3694	in- law
0.262559	-11.3695	urgent
0.918605	-11.3695	immune
0.55	-11.3697	advice
0.816514	-11.3698	lowest level
0.986486	-11.3699	recalling
0.986486	-11.3703	vegetable
0.809091	-11.3703	alitalia
0.986486	-11.3704	maine
0.454286	-11.3704	an american
0.986486	-11.3705	mercury
0.693333	-11.3706	solar
0.88172	-11.3711	elephants
0.928571	-11.3712	merrill lynch
0.786325	-11.3714	survivor
0.85	-11.3715	slaughter
0.693333	-11.3715	go back
0.476489	-11.3716	factors
0.350254	-11.3717	individual
0.596059	-11.3718	pulled out
0.857143	-11.372	water supply
0.643678	-11.372	peace deal
0.373796	-11.372	electoral
0.433766	-11.3722	lay
0.88172	-11.3723	rogers
0.82243	-11.3726	20 -year-old
0.611399	-11.3726	before being
0.791304	-11.3727	yemeni
0.857143	-11.3728	bordeaux
0.908046	-11.373	marlins
0.928571	-11.3733	bunker
0.95	-11.3737	consumer confidence
0.351536	-11.3738	76
0.85	-11.3745	117
0.898876	-11.3746	silvio berlusconi
0.95	-11.3747	alleviate
0.814815	-11.3747	haul
0.898876	-11.3748	queensland
0.814815	-11.3751	colleague
0.55042	-11.3752	subject to
0.711268	-11.3758	favors
0.649123	-11.3764	senegal
0.329323	-11.3765	electricity
0.703448	-11.3767	worlds
0.625	-11.3768	chrysler
0.809091	-11.3768	migration
0.986486	-11.377	wolf
0.675159	-11.3771	emerge
0.66875	-11.3771	yahoo
0.898876	-11.3772	145
0.629834	-11.3774	warplanes
0.775	-11.3781	75 percent
0.908046	-11.3782	quarantine
0.973684	-11.3782	human resources
0.695946	-11.3788	francis
0.898876	-11.3788	excess
0.814815	-11.379	ruins
0.986486	-11.379	s. africa
0.848485	-11.3791	headline
0.927711	-11.3791	single currency
0.973333	-11.3793	wound up
0.608247	-11.3794	writing
0.384774	-11.3794	pentagon
0.864583	-11.3796	we 've been
0.814815	-11.3799	teenage
0.814815	-11.38	correspondent
0.612565	-11.3801	boom
0.202865	-11.3801	malaysia
0.973333	-11.3801	ice hockey
0.764228	-11.3802	refuse to
0.345515	-11.3802	strikes
0.249351	-11.3804	indonesian
0.46789	-11.3804	50,000
0.986301	-11.3806	shutdown
0.949367	-11.3807	basketball association
0.986301	-11.3808	intentionally
0.758065	-11.3809	general motors
0.656627	-11.381	lucky
0.383984	-11.3811	testing
0.917647	-11.3812	27 -year-old
0.711268	-11.3813	to acquire
0.631285	-11.382	tan
0.986301	-11.3822	strasbourg
0.406467	-11.3828	( 1 )
0.706294	-11.3828	raymond
0.986301	-11.3829	negligence
0.826923	-11.3829	fog
0.986301	-11.383	applying
0.880435	-11.383	pocket
0.670886	-11.3831	afterward
0.662577	-11.3832	morris
0.282222	-11.3833	swiss
0.691275	-11.3833	to obtain
0.949367	-11.3834	volumes
0.516854	-11.3834	so many
0.650888	-11.3835	12,000
0.717391	-11.3835	schwarzenegger
0.85567	-11.3844	drafting
0.986301	-11.3844	carbon dioxide
0.418093	-11.3845	83
0.917647	-11.3846	battery
0.470588	-11.3847	capture
0.949367	-11.3848	alternatives
0.888889	-11.385	123
0.641618	-11.3851	108
0.820755	-11.3856	r.
0.820755	-11.3857	fault
0.626374	-11.3858	flooded
0.986301	-11.3859	340
0.986301	-11.3862	spared
0.986301	-11.3865	departed
0.949367	-11.3868	shaken
0.986301	-11.3872	naked
0.986301	-11.3875	growers
0.534137	-11.3875	fewer
0.717391	-11.3876	to revive
0.789474	-11.3877	contaminated
0.282511	-11.3878	madrid
0.801802	-11.3882	opened fire on
0.686667	-11.3882	purchased
0.428941	-11.3885	inspection
0.938272	-11.3887	more than 2,000
0.748031	-11.3889	earning
0.557018	-11.3895	to resign
0.4	-11.3902	singer
0.632768	-11.3903	enormous
0.22807	-11.3907	to see
0.906977	-11.3908	a month ago
0.9375	-11.3908	mysterious
0.986301	-11.391	bottle
0.652695	-11.391	protest against
0.273684	-11.3912	cash
0.85567	-11.3915	fares
0.548936	-11.3915	performances
0.419355	-11.3915	minnesota
0.897727	-11.3916	sunderland
0.291169	-11.3918	was n't
0.704225	-11.3919	sharks
0.888889	-11.392	ignoring
0.948718	-11.392	batsmen
0.486667	-11.3921	ethiopian
0.789474	-11.3921	have shown
0.897727	-11.3924	coins
0.777778	-11.3926	fugitive
0.584541	-11.3928	stones
0.431579	-11.3929	le
0.762295	-11.3929	blackburn
0.660494	-11.393	st
0.870968	-11.3933	inventory
0.794643	-11.3934	there was no immediate
0.527559	-11.3938	chan
0.614973	-11.3943	pro
0.766667	-11.3943	lhasa
0.986111	-11.3946	ruined
0.986111	-11.3947	ethical
0.516981	-11.3948	uzbekistan
0.488215	-11.3957	cocaine
0.986111	-11.3958	hefty
0.729323	-11.3959	countryside
0.574766	-11.396	gop
0.9375	-11.3961	galaxy
0.430446	-11.3963	merger
0.715328	-11.3964	surprising
0.986111	-11.3967	fielding
0.813084	-11.3969	semiconductor
0.896552	-11.397	appreciated
0.367816	-11.3971	satellite
0.986111	-11.3971	successes
0.578199	-11.3972	restaurants
0.926829	-11.3974	coming days
0.960526	-11.3975	sailed
0.986111	-11.3975	patterson
0.846939	-11.3975	last august
0.494774	-11.3979	urgent :
0.557522	-11.3981	vancouver
0.831683	-11.3981	three decades
0.736434	-11.3982	restraint
0.948718	-11.3982	two- hour
0.756098	-11.3983	listing
0.56	-11.3983	awaiting
0.986111	-11.3987	adelaide
0.2034	-11.3988	students
0.986111	-11.3989	jemaah islamiyah
0.861702	-11.399	patience
0.846939	-11.3991	suicide attack
0.377016	-11.3992	fraud
0.986111	-11.3992	conveyed
0.71223	-11.3995	further details
0.51711	-11.3995	on aug.
0.986111	-11.3996	exxon
0.234424	-11.3996	80
0.696552	-11.3996	costly
0.846939	-11.4001	financial sector
0.477273	-11.4002	punishment
0.6	-11.4002	60,000
0.854167	-11.4002	radovan karadzic
0.21978	-11.4003	protest
0.307383	-11.4006	brazilian
0.9375	-11.4007	surfaced
0.493056	-11.4008	algeria
0.639535	-11.4009	thursday morning
0.896552	-11.4018	pumped
0.8	-11.4019	hijacked
0.8	-11.402	an easy
0.159551	-11.4024	last week
0.838384	-11.4026	presidential office
0.986111	-11.4026	distributing
0.905882	-11.4029	dismantling
0.9375	-11.4032	margin of error
0.925926	-11.4035	heroes
0.861702	-11.4035	sustain
0.188099	-11.4036	un
0.905882	-11.4038	captive
0.986111	-11.4039	aboriginal
0.143402	-11.4048	iran
0.764706	-11.4049	p
0.986111	-11.4049	earmarked
0.869565	-11.4051	current situation
0.505495	-11.4051	to ease
0.646707	-11.4053	actors
0.456716	-11.4054	tickets
0.831683	-11.4056	in his speech
0.382046	-11.406	somalia
0.244863	-11.4061	argentina
0.707143	-11.4065	babies
0.905882	-11.4069	picks
0.877778	-11.4071	versions
0.798165	-11.4071	anyone who
0.831683	-11.4075	beaches
1	-11.4078	amr moussa
1	-11.4078	marat safin
1	-11.4078	answering
0.609626	-11.4078	to overcome
0.985915	-11.4079	psv eindhoven
0.710145	-11.4081	sue
0.985915	-11.4086	natural disasters
0.399543	-11.4087	troubled
0.727273	-11.4088	sidelined
0.780702	-11.4089	taxation
0.985915	-11.4089	138
0.710145	-11.4092	to collect
0.905882	-11.4093	punch
0.985915	-11.4096	derail
0.727273	-11.4098	grace
0.552632	-11.4098	operators
0.985915	-11.41	127
0.609626	-11.4101	wedding
0.96	-11.4101	lille
0.632184	-11.4103	grade
0.985915	-11.4103	centrist
0.985915	-11.4106	predicts
0.420253	-11.4108	even if
0.925926	-11.4109	parish
0.75	-11.411	confirms
0.877778	-11.4111	rp
0.474194	-11.4113	henry
0.702128	-11.4113	to earn
0.985915	-11.4115	pigs
0.985915	-11.4115	sticks
0.609626	-11.4115	performing
0.552632	-11.412	will give
0.936709	-11.4121	acute respiratory
0.239868	-11.4122	afghan
0.886364	-11.4123	domestic demand
0.642857	-11.4125	local officials
0.798165	-11.4128	dual
0.985915	-11.413	pains
0.972603	-11.4131	focuses on
0.985915	-11.4131	minors
0.209892	-11.4134	moscow
0.985915	-11.4135	obtaining
0.845361	-11.4135	chief justice
0.740157	-11.4135	tiger woods
0.886364	-11.4136	coming off
0.985915	-11.4137	confidential
0.673203	-11.4137	- sponsored
0.809524	-11.4137	the best way
0.428571	-11.4141	to expand
0.306343	-11.4143	worldwide
0.785714	-11.4143	southern sudan
0.790909	-11.4143	screening
0.877778	-11.4144	2.2 percent
0.985915	-11.4144	database
0.83	-11.4145	would require
0.780702	-11.4147	al gore
0.550218	-11.4148	dance
0.68	-11.415	tuesday morning
0.428571	-11.415	coverage
0.65625	-11.415	israeli - palestinian
0.914634	-11.4151	pressured
0.1452	-11.4155	14
0.886364	-11.4155	certificates
0.675497	-11.4156	hawaii
0.852632	-11.4156	charlton
0.823529	-11.4157	proposes
0.633721	-11.4161	separatists
0.985915	-11.4162	yevgeny kafelnikov
0.61413	-11.4164	camera
0.53527	-11.4166	to hear
0.985915	-11.4166	depressed
0.895349	-11.4167	segment
